time_h,mode,T_btes_C,T_aria_C,Tw_in_C,Tw_out_C,Q_rtc_W,Q_dc_W,Q_solar_W,Q_dc_demand_W,T_dc_ret_C,Ta_C,Tb_C,Tc_C,Td_C,n_iter,mpc_best_reward,threshold_mode,threshold_reward,mpc_gain,mpc_changed,mpc_n_candidates
1208.0,charge,20.657431930049256,25.7,20.657431930049256,20.773470336174967,514.520829332249,0.0,520.1725000002111,0.0,25.7,35.98800825159799,21.746238011540697,21.949605934582678,21.21040338203295,2,5.983269078023199,charge,5.983269078023199,0.0,False,2
1209.0,charge,20.645530798802557,26.9,20.645530798802554,20.775467528788624,448.56924636846105,0.0,940.7374999998317,0.0,26.9,36.42030420372146,21.73531755381589,21.941940358953843,21.212038109615094,2,5.469032562447292,charge,5.469032562447292,0.0,False,2
1210.0,charge,20.676028177080727,27.6,20.676028177080752,20.824896541092244,470.9107581769676,0.0,1308.1785000012162,0.0,27.6,38.725815207861274,21.8982122334686,21.93577678541692,21.213653384324004,2,5.019718410285032,charge,5.019718410285032,0.0,False,2
1211.0,charge,20.73169603752784,27.8,20.731696037527854,20.90485694898865,534.9676123857382,0.0,1571.5849999992365,0.0,27.8,41.64517158706741,22.14115183690825,21.932896700927472,21.215254832510595,2,4.547419709002447,charge,4.547419709002447,0.0,False,2
1212.0,charge,20.795877808855366,27.6,20.79587780885538,20.99095669794241,610.1014891308275,0.0,1711.035500000964,0.0,27.6,44.27396177902614,22.38271334984637,21.933712367551436,21.216850458407066,2,4.0108193779067225,charge,4.0108193779067225,0.0,False,2
1213.0,charge,20.853737182939494,27.7,20.853737182939483,21.063125061372205,673.6519567825709,0.0,1699.9679999991167,0.0,27.7,45.98774090840806,22.563398600656967,21.93761047507877,21.218447961232584,2,3.3991766192148143,charge,3.3991766192148143,0.0,False,2
1214.0,charge,20.8962559717549,27.5,20.896255971754897,21.111593721500697,713.2461036253924,0.0,1580.4389999994783,0.0,27.5,46.73614288065471,22.66461283647328,21.943433065587783,21.22005293854471,2,2.724378565743103,charge,2.724378565743103,0.0,False,2
1215.0,charge,20.916136994862153,27.4,20.916136994862143,21.125099816544378,721.2257168877372,0.0,1301.538000000214,0.0,27.4,45.88931120209679,22.644533822276742,21.949667571756947,21.22166808172301,2,2.0104363098358347,charge,2.0104363098358347,0.0,False,2
1216.0,charge,20.9064645524382,27.3,20.906464552438194,21.095647500275675,686.8403740723422,0.0,947.3779999991292,0.0,27.3,43.42162057100313,22.48740274722013,21.954352704717053,21.223292129396782,2,1.289444258996209,charge,1.289444258996209,0.0,False,2
1217.0,charge,20.862925505883023,26.7,20.862925505883027,21.018836866580386,608.3126782304314,0.0,509.1049999999819,0.0,26.7,39.28840203969969,22.186560922335104,21.955447964838186,21.22491935643177,2,0.6083126782304314,charge,0.6083126782304314,0.0,False,2
